GDP, households, family, Population, number of household
65,Muhlenberg,"$18,538 ","$36,750 ","$43,006 ","31,499","12,052"
66,Johnson,"$18,486 ","$30,820 ","$39,631 ","23,356","9,362"
67,Christian,"$18,476 ","$37,061 ","$42,416 ","73,955","26,144"
68,LaRue,"$18,474 ","$38,891 ","$47,982 ","14,193","5,615"
69,Nicholas,"$18,452 ","$40,259 ","$43,410 ","7,135","2,809"
70,Marion,"$18,445 ","$37,488 ","$48,914 ","19,820","7,358"
71,Ohio,"$18,258 ","$36,050 ","$43,797 ","23,842","9,176"
72,Carter,"$18,147 ","$32,424 ","$40,316 ","27,720","10,760"
73,Taylor,"$18,014 ","$35,378 ","$44,064 ","24,512","9,832"
74,Russell,"$17,868 ","$29,980 ","$40,507 ","17,565","7,401"
75,Gallatin,"$17,810 ","$41,310 ","$47,953 ","8,589","3,160"
76,Breckinridge,"$17,757 ","$37,395 ","$43,847 ","20,059","7,827"
77,Morgan,"$17,705 ","$30,229 ","$39,052 ","13,923","4,860"
78,Fleming,"$17,629 ","$31,236 ","$47,798 ","14,348","5,729"
79,Todd,"$17,460 ","$36,989 ","$44,171 ","12,460","4,647"
80,Grayson,"$17,443 ","$33,965 ","$43,829 ","25,746","10,082"
81,Rowan,"$17,435 ","$31,604 ","$45,760 ","23,333","8,864"
82,Letcher,"$17,393 ","$31,283 ","$42,662 ","24,519","10,014"
83,Carlisle,"$17,260 ","$33,909 ","$42,071 ","5,104","2,116"
84,Butler,"$17,236 ","$33,703 ","$42,754 ","12,690","5,057"
85,Lincoln,"$16,985 ","$32,314 ","$41,101 ","24,742","9,777"
86,Fulton,"$16,908 ","$31,965 ","$35,713 ","6,813","2,864"
87,Allen,"$16,897 ","$35,247 ","$45,013 ","19,956","7,848"
88,Metcalfe,"$16,835 ","$34,732 ","$40,869 ","10,099","4,055"
89,Hart,"$16,726 ","$30,969 ","$40,717 ","18,199","7,097"
90,Breathitt,"$16,442 ","$19,906 ","$29,038 ","13,878","5,494"
91,Knott,"$16,110 ","$29,451 ","$35,537 ","16,346","6,414"
92,Wayne,"$16,109 ","$25,993 ","$31,305 ","20,813","8,646"
93,Lawrence,"$15,903 ","$28,865 ","$35,781 ","15,860","6,239"
94,Floyd,"$15,883 ","$27,907 ","$32,344 ","39,451","16,060"
95,Powell,"$15,796 ","$31,815 ","$38,776 ","12,613","4,834"
96,Adair,"$15,790 ","$29,834 ","$40,427 ","18,656","7,285"
97,Estill,"$15,725 ","$28,324 ","$36,232 ","14,672","5,984"
98,Rockcastle,"$15,621 ","$26,946 ","$37,509 ","17,056","6,750"
99,Monroe,"$15,534 ","$28,439 ","$37,335 ","10,963","4,509"
100,Bath,"$15,487 ","$30,458 ","$37,874 ","11,591","4,587"
101,Menifee,"$15,418 ","$29,740 ","$41,157 ","6,306","2,440"
102,Robertson,"$15,374 ","$27,254 ","$48,821 ","2,282",902
103,Whitley,"$15,258 ","$28,122 ","$35,469 ","35,637","13,575"
104,Harlan,"$15,224 ","$26,582 ","$32,447 ","29,278","11,789"
105,Cumberland,"$15,025 ","$28,135 ","$33,470 ","6,856","2,883"
106,Lewis,"$14,915 ","$28,376 ","$35,146 ","13,870","5,497"
107,Clinton,"$14,802 ","$23,788 ","$28,187 ","10,272","4,358"
108,Martin,"$14,785 ","$25,173 ","$30,018 ","12,929","4,516"
109,Leslie,"$14,753 ","$26,857 ","$35,941 ","11,310","4,555"
110,Bell,"$14,627 ","$24,724 ","$32,060 ","28,691","11,787"
111,Casey,"$14,252 ","$26,592 ","$35,949 ","15,955","6,351"
112,Knox,"$14,101 ","$21,493 ","$30,724 ","31,883","12,722"
113,Jackson,"$13,935 ","$21,928 ","$28,349 ","13,494","5,486"
114,Magoffin,"$13,849 ","$22,779 ","$38,411 ","13,333","5,309"
115,Elliott,"$13,072 ","$22,097 ","$33,220 ","7,852","2,773"
116,Lee,"$12,983 ","$25,129 ","$32,862 ","7,887","2,910"
117,Clay,"$12,300 ","$20,175 ","$28,862 ","21,730","7,732"
118,McCreary,"$12,197 ","$22,643 ","$26,421 ","18,306","6,477"
119,Wolfe,"$11,214 ","$20,910 ","$22,489 ","7,355","3,065"
120,Owsley,"$10,767 ","$19,351 ","$22,961 ","4,755","5,555"
